api-ms-win-power-setting-l1-1-1.dll,powrprof.dll
api-ms-win-ro-typeresolution-l1-1-1.dll,wintypes.dll
api-ms-win-rtcore-minuser-private-l1-1-1.dll,
api-ms-win-rtcore-navigation-l1-1-0.dll,
api-ms-win-rtcore-ntuser-clipboard-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-draw-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-powermanagement-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-private-l1-1-10.dll,user32.dll
api-ms-win-rtcore-ntuser-shell-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-synch-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-window-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-winevent-l1-1-0.dll,user32.dll
api-ms-win-rtcore-ntuser-wmpointer-l1-1-3.dll,user32.dll
api-ms-win-rtcore-ntuser-wmpointer-l1-2-0.dll,user32.dll
api-ms-win-rtcore-ole32-clipboard-l1-1-1.dll,ole32.dll
api-ms-win-rtcore-session-l1-1-1.dll,
api-ms-win-rtcore-session-l1-2-0.dll,
api-ms-win-security-accesshlpr-l1-1-0.dll,sechost.dll
api-ms-win-security-activedirectoryclient-l1-1-1.dll,kernelbase.dll
api-ms-win-security-appcontainer-l1-1-0.dll,kernelbase.dll
api-ms-win-security-audit-l1-1-1.dll,sechost.dll
api-ms-win-security-base-ansi-l1-1-0.dll,advapi32.dll
api-ms-win-security-base-l1-1-1.dll,kernelbase.dll
api-ms-win-security-base-l1-2-2.dll,kernelbase.dll
api-ms-win-security-base-private-l1-1-1.dll,kernelbase.dll
api-ms-win-security-capability-l1-1-1.dll,sechost.dll
api-ms-win-security-cpwl-l1-1-0.dll,advapi32.dll
api-ms-win-security-credentials-l1-1-0.dll,sechost.dll
api-ms-win-security-credentials-l2-1-1.dll,sechost.dll
api-ms-win-security-cryptoapi-l1-1-0.dll,cryptsp.dll
api-ms-win-security-grouppolicy-l1-1-0.dll,kernelbase.dll
api-ms-win-security-isolatedcontainer-l1-1-1.dll,shcore.dll
api-ms-win-security-isolationapi-l1-1-0.dll,sechost.dll
api-ms-win-security-isolationapi-l1-2-0.dll,sechost.dll
api-ms-win-security-isolationpolicy-l1-1-0.dll,sechost.dll
api-ms-win-security-isolationpolicy-l1-2-0.dll,sechost.dll
api-ms-win-security-logon-l1-1-1.dll,advapi32.dll
api-ms-win-security-lsalookup-ansi-l2-1-0.dll,advapi32.dll
api-ms-win-security-lsalookup-l1-1-2.dll,sechost.dll
api-ms-win-security-lsalookup-l2-1-1.dll,advapi32.dll
api-ms-win-security-lsapolicy-l1-1-1.dll,sechost.dll
api-ms-win-security-provider-ansi-l1-1-0.dll,advapi32.dll
api-ms-win-security-provider-l1-1-0.dll,ntmarta.dll
api-ms-win-security-sddl-ansi-l1-1-0.dll,advapi32.dll
api-ms-win-security-sddl-l1-1-0.dll,sechost.dll
api-ms-win-security-sddl-private-l1-1-0.dll,sechost.dll
api-ms-win-security-sddlparsecond-l1-1-0.dll,sechost.dll
api-ms-win-security-systemfunctions-l1-1-0.dll,advapi32.dll
api-ms-win-security-trustee-l1-1-2.dll,advapi32.dll
api-ms-win-service-core-ansi-l1-1-1.dll,advapi32.dll
api-ms-win-service-core-l1-1-4.dll,sechost.dll
api-ms-win-service-management-l1-1-0.dll,sechost.dll
api-ms-win-service-management-l2-1-0.dll,sechost.dll
api-ms-win-service-private-l1-1-5.dll,sechost.dll
api-ms-win-service-private-l1-2-0.dll,sechost.dll
api-ms-win-service-winsvc-l1-1-0.dll,sechost.dll
api-ms-win-service-winsvc-l1-2-0.dll,sechost.dll
api-ms-win-shcore-comhelpers-l1-1-0.dll,shcore.dll
api-ms-win-shcore-obsolete-l1-1-0.dll,shcore.dll
api-ms-win-shcore-path-l1-1-0.dll,shcore.dll
